	Sample_15843	Sample_21410	Sample_21411	Sample_21412	Sample_22794	Sample_3247	Sample_502	Sample_6076	Sample_7459	Sample_8880
A1BG-AS1	4.37342835850879	4.64707047103532	4.51385059479088	4.8575046699128	4.63063921592071	4.70165462691917	4.48794119091007	4.71184416639519	4.68378530143525	4.58304053354598
A1CF	4.25381824791147	4.0721082955934	4.35971376904851	4.19920148431572	4.20502698683634	4.16392090571088	4.33755318885345	4.46985465634694	4.30397669991211	4.18378060424473
A2M	5.03905880721643	4.98313267791369	4.88593928182082	5.08676659805758	5.04176176363046	4.91532395103738	4.96814092805309	4.72341677871673	5.11209614021022	4.77960348038066
A2M-AS1	6.8502870653666	6.96559442577311	6.07345803669451	6.82810765050666	6.58935242281704	7.37632134546605	7.09682403410917	6.4018427648693	7.07012296996086	6.23140298518021
A2ML1	3.86225819008406	4.09952985301721	3.96208538215018	4.14531286359751	3.87476030039783	4.00845311950633	3.94662999469004	3.92376014816204	4.07611848021582	3.95842621974456
A4GALT	4.51441689758739	4.94344943098459	4.93783003024165	5.23036700771848	4.88006356653079	5.21078696822967	4.66367693414838	5.11062722686476	5.14623832712553	4.95098441525113
A4GNT	3.99997183970557	4.02656088617891	4.28337023893036	4.25702685660354	3.91677781499757	4.27064949373748	4.3598376284373	4.49513548954859	3.97040468721418	4.23850867564061
AA06	4.60095524910879	4.58517566407569	4.85537096063029	4.70633645075466	4.51183817371056	4.57233460511298	4.70730093751493	4.64424553646553	4.1761786460969	4.52404379488306
AAAS	6.76568079134229	6.76630965759563	6.79920811118389	6.61201573274815	6.83205645667338	6.56888907546273	6.72357093457364	6.86192083012086	6.82898483446205	6.9019109497627
AACSP1	3.33008316521939	3.50108331030718	3.24775933289419	3.35907426181551	3.36056627854765	3.33657590534017	3.40338701238136	3.45438614025325	3.40565125993976	3.52137429541309
AADAC	4.22118912829802	4.49429807816831	4.58401941225193	4.50026531430315	4.24221812365453	4.48221358030372	4.19941386522259	4.57343783789721	4.12068718415236	4.43065718345073
AADACL2	3.04638334442124	3.22453287802156	3.35775065083796	3.04092484824893	2.98329580519798	3.10322370563272	3.19520332943133	3.16505455201815	3.24324722900329	3.12795377531914
AADACP1	3.84971598715789	3.68843624225367	3.88432414266048	3.80068346466018	3.41564659848598	3.90835287960045	3.70938532942482	3.56874180512975	3.75179818224179	3.65768665951344
AADAT	5.34773466656654	5.22742310035037	5.46129106783956	5.09403276625161	5.2570912830479	5.03288784156195	5.27405123133444	5.20456714183809	5.51247899364134	5.29987253844771
AAED1	6.91368745695605	7.08751354460694	7.12398100469953	6.65818020999086	7.16016420139322	7.05403067862227	7.3784526522393	7.62202656562851	7.2072428807491	7.05655078114522
