y1,y2,y3,y4,y5,y6,y7,y8,x1,x2,x3,x4
-0.204444642,-2.61151195,-2.156149225,-5.138574666,2.25899831,8.375195387,-0.411779666,1.229965692,1.072939631,0.33176966,-20.87673208,5.934419125
0.008959447,5.945774407,-1.739371788,-3.243152602,4.426045091,11.39285295,3.65927881,20.88094836,1.338234302,-0.472845423,7.091757408,6.312328273
2.607566532,9.743870653,0.334806584,-2.004925632,1.120609489,-1.923645887,10.9506666,61.68546652,0.435068443,0.658387418,20.89123492,3.374877976
2.547264978,8.305860557,0.476745413,-1.276461629,-0.605333475,-1.855337044,6.831347042,41.73792144,-0.533785337,0.204254474,17.8973812,-1.801904126
2.262720318,6.048305844,0.760274126,1.714374245,0.541866495,-6.009002696,6.451594335,32.80984916,0.338817988,-0.162585605,22.17264597,2.368971179
0.460262955,1.869218528,-1.607033698,-4.040023054,0.044055058,2.018435909,4.383358848,19.84030673,0.156372358,1.397717207,-7.495028353,4.307752484
-0.287349803,4.360183845,-0.685811611,-2.501975528,-3.543373916,-8.344998252,2.544944202,10.84818611,0.706019732,-0.617560381,7.288814066,2.87756945
0.92429849,5.341592221,-1.538760893,-3.460023424,1.965507901,8.648905595,7.822520488,56.70748629,0.818500718,1.151135683,7.237448399,7.5631615
-0.235465391,-1.736667484,-2.301559971,-6.802404224,-2.241636014,-6.734317986,-1.834063078,-24.75538085,-0.191625312,-0.933621452,-20.68485617,-1.561259824
2.692823779,1.533216593,1.446347817,4.902902042,0.007033451,0.776886122,-0.459569562,-16.06217907,-0.051046833,-1.837521022,19.68623338,-3.821255051
-0.807463848,-6.231087237,1.315936958,4.515137634,1.203360732,10.17403693,-1.72848255,-16.40160635,0.6674893,0.234345065,4.237204416,5.654523346
-2.435850129,-6.23741185,0.476416806,-2.640177017,0.712319146,1.168325136,-6.714015063,-35.72375706,0.11074817,-0.779512305,-14.55358276,-0.723475974
-2.112829831,-1.110954032,-1.468108601,-1.563092317,-0.398060531,-3.336294905,-1.036821091,-13.07859869,-0.406645253,-0.144302537,-3.642362355,-1.960702503
0.388131674,-2.015624289,0.479477204,0.289645601,1.491967525,5.984668925,-3.918214835,-23.0377215,0.389171384,-1.069281055,-3.14009179,-0.129293365
0.553212417,-3.305938143,1.193740742,3.567513277,0.572663212,0.248574719,-2.447593748,-23.98061701,0.152805776,-1.076655322,-0.033723422,-2.122034513
1.097552598,4.194256398,2.782465533,5.374588813,0.021955173,-1.555636749,1.472184343,14.94829634,-0.107949369,-1.010777202,27.05742671,-1.194997037
2.005323505,1.106132524,-1.309436094,-3.509670753,3.001035048,7.56806512,3.105356023,12.90829096,0.681733141,0.916253977,-6.581629701,5.635822238
-1.573428679,-1.94511359,0.598810405,0.740166576,0.58110141,3.469591211,-2.013503626,-19.68548572,0.814672337,-0.545530316,-3.232912836,4.089264393
0.102314048,0.695780562,1.825975454,4.356798103,-0.487166192,-0.959140049,-1.309704473,-4.127811947,-0.834415691,-0.594915733,11.41136607,-7.357925873
-0.680223579,-0.912429239,-1.444420929,-8.444612577,-0.549295606,-11.60505688,-2.775914048,-14.55825073,-1.762436841,-0.790343208,-24.25030279,-13.24539105
-1.396450288,-2.461224411,-0.294725872,-0.980418634,1.103203142,5.38574635,-0.169019937,-12.10874618,0.569435734,-0.657156448,-9.367313495,1.104865169
-1.136500992,-1.79963681,-3.542754133,-9.692339228,-2.960751436,-15.09315233,0.10713417,3.19589808,-0.410379642,0.684096692,-26.59997296,-0.422731823
0.997811248,1.054137592,2.652273498,6.674330155,1.523939756,9.531313975,0.320798213,3.462066194,-0.780039956,0.364693948,20.4841954,-3.456686954
1.754991935,-1.198206579,-0.015207759,-0.48062827,1.486674779,3.863723305,-1.535346295,-19.01264582,0.069601573,0.855991536,-10.94640763,3.895085141
